w1;w2;cooc
coniglio;cane;77
coniglio;gatto;79
coniglio;furetto;14
coniglio;criceto;4
coniglio;coniglio;157
coniglio;pappagallo;4
coniglio;camaleonte;1
coniglio;iguana;0
coniglio;topo;49
coniglio;canarino;0
coniglio;mucca;10
coniglio;capra;12
coniglio;pecora;10
coniglio;maiale;113
coniglio;bufalo;6
coniglio;pollo;296
coniglio;vitello;58
coniglio;agnello;111
coniglio;asino;10
coniglio;cavallo;51
coniglio;elefante;21
coniglio;zebra;4
coniglio;ippopotamo;0
coniglio;scimmia;13
coniglio;giraffa;10
coniglio;antilopo;0
coniglio;leone;42
coniglio;rinoceronte;2
coniglio;leopardo;0
coniglio;coccodrillo;3
coniglio;delfino;0
coniglio;balena;0
coniglio;squalo;1
coniglio;medusa;3
coniglio;tricheco;0
coniglio;foca;0
coniglio;plancton;0
coniglio;merluzzo;1
coniglio;granchio;0
coniglio;tartaruga;14
coniglio;gufo;9
coniglio;corvo;2
coniglio;pettirosso;1
coniglio;albatro;0
coniglio;upupa;0
coniglio;gabbiano;1
coniglio;aquila;4
coniglio;anatra;49
coniglio;struzzo;6
coniglio;pinguino;4
coniglio;tavolo;8
coniglio;sedia;0
coniglio;divano;1
coniglio;scrivania;0
coniglio;armadio;0
coniglio;letto;20
coniglio;comodino;0
coniglio;sgabello;0
coniglio;poltrona;0
coniglio;scaffale;1
coniglio;martello;1
coniglio;trapano;0
coniglio;cacciavite;0
coniglio;chiodo;3
coniglio;ascia;3
coniglio;sega;0
coniglio;vite;5
coniglio;pinza;0
coniglio;scalpello;0
coniglio;cazzuola;0
coniglio;cucchiaio;6
coniglio;forchetta;1
coniglio;coltello;8
coniglio;piatto;52
coniglio;tazza;4
coniglio;pentola;20
coniglio;ciotola;2
coniglio;padella;31
coniglio;mattarello;0
coniglio;tagliere;2
coniglio;penna;2
coniglio;matita;0
coniglio;gomma;2
coniglio;carta;12
coniglio;busta;0
coniglio;evidenziatore;0
coniglio;righello;0
coniglio;pennello;1
coniglio;colla;62
coniglio;graffetta;0
coniglio;telefono;1
coniglio;radio;23
coniglio;computer;9
coniglio;frigorifero;1
coniglio;lavatrice;0
coniglio;lavastoviglie;1
coniglio;camera;4
coniglio;aspirapolvere;0
coniglio;microonda;0
coniglio;televisione;0
pappagallo;cane;27
pappagallo;gatto;17
pappagallo;furetto;1
pappagallo;criceto;3
pappagallo;coniglio;4
pappagallo;pappagallo;27
pappagallo;camaleonte;2
pappagallo;iguana;1
pappagallo;topo;4
pappagallo;canarino;2
pappagallo;mucca;0
pappagallo;capra;3
pappagallo;pecora;2
pappagallo;maiale;1
pappagallo;bufalo;0
pappagallo;pollo;2
pappagallo;vitello;0
pappagallo;agnello;0
pappagallo;asino;1
pappagallo;cavallo;5
pappagallo;elefante;4
pappagallo;zebra;0
pappagallo;ippopotamo;0
pappagallo;scimmia;12
pappagallo;giraffa;2
pappagallo;antilopo;0
pappagallo;leone;3
pappagallo;rinoceronte;0
pappagallo;leopardo;0
pappagallo;coccodrillo;2
pappagallo;delfino;3
pappagallo;balena;0
pappagallo;squalo;2
pappagallo;medusa;0
pappagallo;tricheco;0
pappagallo;foca;0
pappagallo;plancton;0
pappagallo;merluzzo;0
pappagallo;granchio;0
pappagallo;tartaruga;6
pappagallo;gufo;1
pappagallo;corvo;2
pappagallo;pettirosso;0
pappagallo;albatro;0
pappagallo;upupa;0
pappagallo;gabbiano;3
pappagallo;aquila;3
pappagallo;anatra;2
pappagallo;struzzo;0
pappagallo;pinguino;2
pappagallo;tavolo;1
pappagallo;sedia;0
pappagallo;divano;1
pappagallo;scrivania;0
pappagallo;armadio;0
pappagallo;letto;10
pappagallo;comodino;1
pappagallo;sgabello;1
pappagallo;poltrona;0
pappagallo;scaffale;0
pappagallo;martello;2
pappagallo;trapano;0
pappagallo;cacciavite;0
pappagallo;chiodo;0
pappagallo;ascia;2
pappagallo;sega;0
pappagallo;vite;0
pappagallo;pinza;7
pappagallo;scalpello;0
pappagallo;cazzuola;0
pappagallo;cucchiaio;0
pappagallo;forchetta;0
pappagallo;coltello;0
pappagallo;piatto;0
pappagallo;tazza;0
pappagallo;pentola;1
pappagallo;ciotola;0
pappagallo;padella;5
pappagallo;mattarello;0
pappagallo;tagliere;0
pappagallo;penna;5
pappagallo;matita;1
pappagallo;gomma;1
pappagallo;carta;0
pappagallo;busta;0
pappagallo;evidenziatore;0
pappagallo;righello;0
pappagallo;pennello;0
pappagallo;colla;0
pappagallo;graffetta;0
pappagallo;telefono;3
pappagallo;radio;4
pappagallo;computer;0
pappagallo;frigorifero;0
pappagallo;lavatrice;0
pappagallo;lavastoviglie;0
pappagallo;camera;12
pappagallo;aspirapolvere;0
pappagallo;microonda;0
pappagallo;televisione;1
camaleonte;cane;0
camaleonte;gatto;0
camaleonte;furetto;1
camaleonte;criceto;0
camaleonte;coniglio;1
camaleonte;pappagallo;2
camaleonte;camaleonte;11
camaleonte;iguana;2
camaleonte;topo;4
camaleonte;canarino;0
camaleonte;mucca;0
camaleonte;capra;0
camaleonte;pecora;0
camaleonte;maiale;0
camaleonte;bufalo;4
camaleonte;pollo;0
camaleonte;vitello;0
camaleonte;agnello;1
camaleonte;asino;0
camaleonte;cavallo;2
camaleonte;elefante;0
camaleonte;zebra;1
camaleonte;ippopotamo;0
camaleonte;scimmia;1
camaleonte;giraffa;0
camaleonte;antilopo;0
camaleonte;leone;2
camaleonte;rinoceronte;0
camaleonte;leopardo;1
camaleonte;coccodrillo;1
camaleonte;delfino;0
camaleonte;balena;1
camaleonte;squalo;0
camaleonte;medusa;0
camaleonte;tricheco;0
camaleonte;foca;0
camaleonte;plancton;0
camaleonte;merluzzo;0
camaleonte;granchio;0
camaleonte;tartaruga;2
camaleonte;gufo;1
camaleonte;corvo;1
camaleonte;pettirosso;0
camaleonte;albatro;0
camaleonte;upupa;0
camaleonte;gabbiano;0
camaleonte;aquila;0
camaleonte;anatra;0
camaleonte;struzzo;0
camaleonte;pinguino;0
camaleonte;tavolo;1
camaleonte;sedia;0
camaleonte;divano;0
camaleonte;scrivania;0
camaleonte;armadio;0
camaleonte;letto;5
camaleonte;comodino;0
camaleonte;sgabello;0
camaleonte;poltrona;0
camaleonte;scaffale;0
camaleonte;martello;0
camaleonte;trapano;0
camaleonte;cacciavite;0
camaleonte;chiodo;0
camaleonte;ascia;0
camaleonte;sega;0
camaleonte;vite;0
camaleonte;pinza;0
camaleonte;scalpello;0
camaleonte;cazzuola;0
camaleonte;cucchiaio;0
camaleonte;forchetta;0
camaleonte;coltello;0
camaleonte;piatto;0
camaleonte;tazza;0
camaleonte;pentola;0
camaleonte;ciotola;0
camaleonte;padella;0
camaleonte;mattarello;0
camaleonte;tagliere;0
camaleonte;penna;0
camaleonte;matita;0
camaleonte;gomma;1
camaleonte;carta;1
camaleonte;busta;0
camaleonte;evidenziatore;0
camaleonte;righello;0
camaleonte;pennello;0
camaleonte;colla;0
camaleonte;graffetta;0
camaleonte;telefono;0
camaleonte;radio;0
camaleonte;computer;2
camaleonte;frigorifero;0
camaleonte;lavatrice;0
camaleonte;lavastoviglie;0
camaleonte;camera;0
camaleonte;aspirapolvere;0
camaleonte;microonda;0
camaleonte;televisione;1
iguana;cane;19
iguana;gatto;4
iguana;furetto;1
iguana;criceto;0
iguana;coniglio;0
iguana;pappagallo;1
iguana;camaleonte;2
iguana;iguana;24
iguana;topo;0
iguana;canarino;0
iguana;mucca;0
iguana;capra;0
iguana;pecora;0
iguana;maiale;1
iguana;bufalo;0
iguana;pollo;0
iguana;vitello;0
iguana;agnello;0
iguana;asino;0
iguana;cavallo;0
iguana;elefante;0
iguana;zebra;0
iguana;ippopotamo;0
iguana;scimmia;1
iguana;giraffa;1
iguana;antilopo;0
iguana;leone;0
iguana;rinoceronte;2
iguana;leopardo;0
iguana;coccodrillo;7
iguana;delfino;0
iguana;balena;0
iguana;squalo;0
iguana;medusa;0
iguana;tricheco;0
iguana;foca;0
iguana;plancton;0
iguana;merluzzo;0
iguana;granchio;0
iguana;tartaruga;3
iguana;gufo;0
iguana;corvo;0
iguana;pettirosso;0
iguana;albatro;0
iguana;upupa;0
iguana;gabbiano;0
iguana;aquila;1
iguana;anatra;0
iguana;struzzo;0
iguana;pinguino;1
iguana;tavolo;0
iguana;sedia;0
iguana;divano;0
iguana;scrivania;0
iguana;armadio;0
iguana;letto;2
iguana;comodino;1
iguana;sgabello;0
iguana;poltrona;0
iguana;scaffale;0
iguana;martello;0
iguana;trapano;0
iguana;cacciavite;0
iguana;chiodo;0
iguana;ascia;0
iguana;sega;0
iguana;vite;5
iguana;pinza;0
iguana;scalpello;0
iguana;cazzuola;0
iguana;cucchiaio;0
iguana;forchetta;0
iguana;coltello;0
iguana;piatto;0
iguana;tazza;0
iguana;pentola;1
iguana;ciotola;0
iguana;padella;0
iguana;mattarello;0
iguana;tagliere;0
iguana;penna;0
iguana;matita;0
iguana;gomma;0
iguana;carta;0
iguana;busta;0
iguana;evidenziatore;0
iguana;righello;0
iguana;pennello;0
iguana;colla;0
iguana;graffetta;0
iguana;telefono;0
iguana;radio;1
iguana;computer;0
iguana;frigorifero;0
iguana;lavatrice;0
iguana;lavastoviglie;0
iguana;camera;1
iguana;aspirapolvere;0
iguana;microonda;0
iguana;televisione;1
topo;cane;118
topo;gatto;729
topo;furetto;2
topo;criceto;12
topo;coniglio;49
topo;pappagallo;4
topo;camaleonte;4
topo;iguana;0
topo;topo;179
topo;canarino;3
topo;mucca;19
topo;capra;18
topo;pecora;14
topo;maiale;12
topo;bufalo;13
topo;pollo;8
topo;vitello;4
topo;agnello;1
topo;asino;3
topo;cavallo;16
topo;elefante;34
topo;zebra;2
topo;ippopotamo;3
topo;scimmia;29
topo;giraffa;1
topo;antilopo;0
topo;leone;38
topo;rinoceronte;1
topo;leopardo;14
topo;coccodrillo;0
topo;delfino;0
topo;balena;2
topo;squalo;0
topo;medusa;0
topo;tricheco;0
topo;foca;1
topo;plancton;0
topo;merluzzo;0
topo;granchio;3
topo;tartaruga;7
topo;gufo;4
topo;corvo;3
topo;pettirosso;1
topo;albatro;0
topo;upupa;0
topo;gabbiano;4
topo;aquila;16
topo;anatra;5
topo;struzzo;0
topo;pinguino;1
topo;tavolo;1
topo;sedia;4
topo;divano;3
topo;scrivania;4
topo;armadio;6
topo;letto;22
topo;comodino;1
topo;sgabello;0
topo;poltrona;0
topo;scaffale;2
topo;martello;2
topo;trapano;0
topo;cacciavite;0
topo;chiodo;0
topo;ascia;5
topo;sega;0
topo;vite;4
topo;pinza;0
topo;scalpello;0
topo;cazzuola;0
topo;cucchiaio;0
topo;forchetta;0
topo;coltello;1
topo;piatto;2
topo;tazza;2
topo;pentola;0
topo;ciotola;2
topo;padella;0
topo;mattarello;0
topo;tagliere;0
topo;penna;1
topo;matita;1
topo;gomma;7
topo;carta;4
topo;busta;1
topo;evidenziatore;0
topo;righello;0
topo;pennello;0
topo;colla;4
topo;graffetta;0
topo;telefono;6
topo;radio;1
topo;computer;10
topo;frigorifero;0
topo;lavatrice;0
topo;lavastoviglie;0
topo;camera;5
topo;aspirapolvere;0
topo;microonda;0
topo;televisione;9
canarino;cane;30
canarino;gatto;48
canarino;furetto;0
canarino;criceto;10
canarino;coniglio;0
canarino;pappagallo;2
canarino;camaleonte;0
canarino;iguana;0
canarino;topo;3
canarino;canarino;9
canarino;mucca;1
canarino;capra;0
canarino;pecora;0
canarino;maiale;0
canarino;bufalo;0
canarino;pollo;2
canarino;vitello;0
canarino;agnello;0
canarino;asino;0
canarino;cavallo;4
canarino;elefante;0
canarino;zebra;0
canarino;ippopotamo;0
canarino;scimmia;2
canarino;giraffa;1
canarino;antilopo;0
canarino;leone;0
canarino;rinoceronte;0
canarino;leopardo;2
canarino;coccodrillo;1
canarino;delfino;1
canarino;balena;6
