WORD,,AOA,,   FAM,,IMAG,,CONC,,Adult WrtFQ,,Child Written,,,Adult,,,,Lexical,PHON:,PHON:,,VOICE,MANNER,,,,,PLACE,,,,,,VOWEL,,,
Italian,English,mean,sd,mean,sd,mean,sd,mean,sd,ILC,CoLFIS,TotFQ,CompFQ,ProdFQ,SpkFQ,NSIZE,BIGR,SYL,LET,Stress,VOICE,MANN,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,RT,,
BERSAGLIO,target,4.48,1.02,6.05,1.22,5.02,1.81,3.82,1.79,12,65,11,9,2,2,0,10.56,3,9,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,542,,
BESTIA,beast,3.27,1.04,6.55,0.85,4.36,1.81,5.32,1.74,94,47,81,52,29,4,0,10.09,2,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,514,,
BIBITA,drink,3.59,0.92,6.68,0.64,5.89,1.24,4.68,2.12,5,3,23,4,19,1,0,10.32,3,6,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,534,,
BICCHIERE,glass,1.89,0.65,6.98,0.15,6.32,1.41,6.80,0.51,115,111,87,47,40,1,0,10.76,3,9,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,559,,
BIGLIETTO,ticket,3.36,0.99,6.75,0.69,5.80,1.34,6.45,0.90,56,101,114,55,59,28,0,10.55,3,9,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,546,,
BISCIA,grass snake,3.77,1.18,4.73,1.80,5.18,1.88,6.82,0.54,3,4,0,0,0,0,2,10.68,2,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,537,,
BISTECCA,steak,3.16,1.10,6.55,1.07,6.39,0.95,6.57,0.93,2,6,19,12,7,2,0,10.61,3,8,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,523,,
BOCCA,mouth,1.59,0.69,6.86,0.46,6.65,0.72,6.86,0.41,472,335,369,138,231,7,3,10.32,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,483,,
BOIA,hang-man,5.30,1.15,4.93,1.86,4.50,1.96,5.91,1.61,13,22,0,0,0,2,2,10.34,2,4,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,504,,
BOMBA,bomb,3.50,1.27,6.61,0.78,5.25,1.84,5.59,1.74,39,128,52,33,19,8,1,10.00,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,512,,
BOSSOLO,bullet,5.68,1.31,3.93,1.76,4.25,2.15,6.45,1.02,1,4,0,0,0,1,0,10.53,3,7,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,581,,
BRANDELLO,shred,5.57,1.25,4.07,1.59,4.30,1.68,4.68,1.86,3,6,0,0,0,0,0,10.88,3,9,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,542,,
BRIVIDO,shiver,3.75,1.22,5.91,1.51,4.11,2.10,5.14,2.14,44,60,17,13,4,1,0,10.34,3,7,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,527,,
BRODO,broth,2.25,1.08,6.36,0.97,5.41,1.48,5.59,1.70,34,55,12,9,3,2,1,10.29,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,503,,
BUCCIA,peel,2.82,0.84,6.23,1.36,5.48,1.53,6.59,0.90,8,20,19,13,6,0,2,10.22,2,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,516,,
