Concept(EN)	ConceptClass	Concept(IT)	Prod.Frequency	Rank	Feature	RelationType	FreqWaCKy	logFreqWaCKy	No.Letters	No.Syllables	No.Features	No.DistinguishingFeatures	Percent.DistinguishingFeatures	MeanDistinctivenessAcrossFeatures	MeanCueValidity	No.IntercorrelatedFeatures	Percent.IntercorrelatedFeatures	IntercorrelationalDensity	(Non)Distinguishing	Distinctiveness
dog	mammal	cane	13	4	beh_-_barks	eb	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	1
dog	mammal	cane	11	5	a_mammal	ch	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	ND	0.2
dog	mammal	cane	9	6	has_a_fur	ece	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	ND	0.25
dog	mammal	cane	8	7	is_faithful	sr	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	1
dog	mammal	cane	7	8	different_kinds	eq	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	0.5
dog	mammal	cane	7	8	has_a_tail	ece	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	1
dog	mammal	cane	6	9	beh_-_eats_everything	eb	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	0.5
dog	mammal	cane	5	10	used_for_company	eae	117804	11.6767775054805	4	2	12	9	0.750000	0.601389	3.239552	25	0.892857	8.4566145605346	D	1
eye	bodypart	occhio	37	1	used_for_seeing	sf	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	D	1
eye	bodypart	occhio	18	2	a_body_part	ch	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	ND	0.2
eye	bodypart	occhio	17	3	different_colours	ese	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	ND	0.142857
eye	bodypart	occhio	13	4	there_are_2	eq	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	ND	0.333333
eye	bodypart	occhio	9	5	an_organ	ch	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	D	1
eye	bodypart	occhio	6	6	has_an_iris	ece	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	D	1
eye	bodypart	occhio	5	7	has_a_pupil	ece	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	D	1
eye	bodypart	occhio	5	7	is_round	ese	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	ND	0.166667
eye	bodypart	occhio	5	7	part_of_face	ew	322303	12.6832473758583	6	2	9	5	0.555556	0.649206	7.063156	2	0.333333	0.623728887235515	D	1
finger	bodypart	dito	25	1	part_of_hand	ew	49952	10.8188178233152	4	2	10	9	0.900000	0.870000	6.827818	2	0.666667	0.411751370123403	D	1
finger	bodypart	dito	11	2	a_body_part	ch	49952	10.8188178233152	4	2	10	9	0.900000	0.870000	6.827818	2	0.666667	0.411751370123403	ND	0.2
finger	bodypart	dito	10	3	used_for_grasping	sf	49952	10.8188178233152	4	2	10	9	0.900000	0.870000	6.827818	2	0.666667	0.411751370123403	D	0.5
