,subject,word,log_frequency,length,coltheart_N,OLD_20,target,trial,category,accuracy,awareness
8534,15,radio,1.1229699318650483,-0.7767866304411414,-0.06500440399692362,-0.6403276803194685,0.5,6,-0.5,0.5,0.0
8535,15,letto,1.246195131624904,-0.7767866304411414,2.8240802180885685,-1.4762645997965824,0.5,6,-0.5,0.5,1.0
8536,15,giraffa,-2.8810176491187387,0.5398008787811325,-0.7872755595182965,1.1987335425301822,-0.5,6,0.5,0.5,1.0
8537,15,ascia,-0.8103909438013616,-0.7767866304411414,-0.7872755595182965,-0.72392137226718,0.5,6,-0.5,0.5,0.0
8538,15,pinguino,-0.8419578929992353,1.1980946333922695,-0.7872755595182965,1.1151398505824703,-0.5,6,0.5,0.5,1.0
8539,15,pentola,-0.15856823525016803,0.5398008787811325,-0.4261399817576101,0.6135776988962023,-0.5,6,-0.5,0.5,1.0
8540,15,cavallo,1.2402097613133245,0.5398008787811325,0.29613117376376286,-0.05517183668548864,0.5,6,0.5,0.5,1.0
8541,15,sedia,0.5003001180809559,-0.7767866304411414,-0.4261399817576101,-0.4731402964240459,-0.5,6,-0.5,0.5,1.0
8542,15,piatto,1.189572644749462,-0.11849287583000447,-0.4261399817576101,-0.6403276803194685,0.5,6,-0.5,0.5,1.0
8543,15,mucca,0.24396797426851602,-0.7767866304411414,0.29613117376376286,-0.6403276803194685,0.5,6,0.5,0.5,1.0
8544,15,forchetta,-0.694729491709491,1.8563883880034064,-0.7872755595182965,1.1151398505824703,-0.5,6,-0.5,0.5,1.0
8545,15,balena,-0.3007528333175536,-0.11849287583000447,-0.7872755595182965,-0.3895466044763345,-0.5,6,0.5,0.5,1.0
8546,15,furetto,-1.562982768137223,0.5398008787811325,-0.06500440399692362,-0.6403276803194685,-0.5,6,0.5,0.5,1.0
8547,15,carta,2.0400627281497923,-0.7767866304411414,1.0184023292851359,-0.8911087561626029,0.5,6,-0.5,0.5,1.0
8548,15,pinza,-0.6855382622850416,-0.7767866304411414,0.29613117376376286,-0.6403276803194685,-0.5,6,-0.5,0.5,1.0
8549,15,tavolo,1.2575203688862868,-0.11849287583000447,-0.06500440399692362,-0.3895466044763345,0.5,6,-0.5,0.5,-1.0
8550,15,elefante,-0.14804480278287926,1.1980946333922695,-0.4261399817576101,1.0315461586347592,-0.5,6,0.5,0.5,1.0
8551,15,capra,-0.7147164582546444,-0.7767866304411414,0.6572667515244494,-0.8075150642148914,-0.5,6,0.5,0.5,1.0
8552,15,aquila,-0.1756433361276551,-0.11849287583000447,-0.4261399817576101,0.7807650827916253,0.5,6,0.5,0.5,1.0
8553,15,busta,0.8451862773635375,-0.7767866304411414,-0.4261399817576101,-0.4731402964240459,-0.5,6,-0.5,0.5,1.0
8554,15,cane,1.4579124101004035,-1.4350803850522784,0.6572667515244494,-0.8911087561626029,0.5,6,0.5,0.5,1.0
8555,15,computer,1.6760451302684967,1.1980946333922695,-0.7872755595182965,1.1987335425301822,0.5,6,-0.5,0.5,1.0
8556,15,ciotola,-0.556371700253188,0.5398008787811325,-0.7872755595182965,0.9479524666870475,-0.5,6,-0.5,0.5,1.0
8557,15,vite,-0.4874708743101197,-1.4350803850522784,1.7406734848065089,-1.0582961400580255,0.5,6,-0.5,0.5,0.0
8558,15,pollo,0.18747525129260859,-0.7767866304411414,1.3795379070458222,-1.141889832005737,0.5,6,0.5,0.5,1.0
8559,15,zebra,-1.926824290547318,-0.7767866304411414,-0.7872755595182965,-0.3895466044763345,-0.5,6,0.5,0.5,1.0
8560,15,radio,1.1229699318650483,-0.7767866304411414,-0.06500440399692362,-0.6403276803194685,0.5,7,-0.5,0.5,1.0
8561,15,ascia,-0.8103909438013616,-0.7767866304411414,-0.7872755595182965,-0.72392137226718,0.5,7,-0.5,0.5,1.0
8562,15,cane,1.4579124101004035,-1.4350803850522784,0.6572667515244494,-0.8911087561626029,0.5,7,0.5,0.5,1.0
8563,15,busta,0.8451862773635375,-0.7767866304411414,-0.4261399817576101,-0.4731402964240459,-0.5,7,-0.5,0.5,1.0
